age,task_category,difficulty,points,past_completion_rate,current_streak,total_tasks_assigned,day_of_week,time_of_day,performance_level,streak_x_completion,age_x_difficulty,points_x_completion,success
12,7,0,100,0.04,13,95,2,19,0,0.52,0,4.0,1
9,0,0,40,0.96,26,74,4,0,9,24.96,0,38.4,1
17,4,2,10,0.76,5,61,4,20,7,3.8,34,7.6,1
12,4,0,95,0.44,26,63,0,15,4,11.44,0,41.8,1
10,6,1,55,0.67,27,21,2,13,6,18.09,10,36.85,1
16,7,1,65,0.81,17,5,3,2,8,13.770000000000001,16,52.650000000000006,1
10,4,1,20,0.97,12,66,6,0,9,11.64,10,19.4,1
15,8,1,70,0.05,16,47,4,15,0,0.8,15,3.5,0
17,0,0,45,0.55,29,37,3,22,5,15.950000000000001,0,24.750000000000004,1
12,1,0,100,0.8,22,21,2,17,8,17.6,0,80.0,1
5,8,1,15,0.22,26,15,3,3,2,5.72,5,3.3,0
7,7,2,50,0.51,8,54,6,15,5,4.08,14,25.5,0
12,3,1,90,0.14,6,77,4,23,1,0.8400000000000001,12,12.600000000000001,0
6,4,1,55,0.93,16,35,6,0,9,14.88,6,51.150000000000006,1
9,4,2,95,1.0,15,20,3,17,9,15.0,18,95.0,1
12,5,1,90,0.76,12,59,2,6,7,9.120000000000001,12,68.4,1
16,3,2,65,0.23,24,53,0,10,2,5.5200000000000005,32,14.950000000000001,0
16,7,2,65,0.39,21,84,1,15,3,8.19,32,25.35,1
5,2,2,95,0.33,3,57,0,16,3,0.99,10,31.35,0
12,0,2,25,0.41,20,20,0,15,4,8.2,24,10.25,0
17,4,1,100,0.69,20,11,6,10,6,13.799999999999999,17,69.0,1
15,8,1,55,0.63,28,98,3,17,6,17.64,15,34.65,1
5,9,0,40,0.63,29,37,1,23,6,18.27,0,25.2,1
6,6,0,20,0.44,22,39,0,1,4,9.68,0,8.8,1
10,0,1,60,0.37,4,32,4,13,3,1.48,10,22.2,0
17,2,0,30,0.08,27,49,4,21,0,2.16,0,2.4,1
8,7,2,25,0.23,20,33,3,8,2,4.6000000000000005,16,5.75,0
15,0,1,50,0.68,5,10,3,11,6,3.4000000000000004,15,34.0,1
14,4,2,70,0.69,14,39,1,12,6,9.66,28,48.3,1
12,1,0,65,0.57,18,38,5,9,5,10.26,0,37.05,1
5,6,1,5,0.57,21,100,5,1,5,11.969999999999999,5,2.8499999999999996,1
14,7,1,40,0.61,11,29,5,6,6,6.71,14,24.4,1
14,4,2,25,0.63,28,81,5,1,6,17.64,28,15.75,1
9,7,0,95,0.36,4,12,2,10,3,1.44,0,34.199999999999996,1
16,6,0,35,0.13,17,47,4,16,1,2.21,0,4.55,1
9,2,1,80,0.97,9,96,6,10,9,8.73,9,77.6,1
17,1,1,15,0.14,30,29,6,21,1,4.2,17,2.1,1
16,6,2,60,0.09,12,2,2,17,0,1.08,32,5.3999999999999995,0
6,7,1,45,0.58,26,82,2,3,5,15.079999999999998,6,26.099999999999998,1
15,3,1,5,0.62,30,72,2,19,6,18.6,15,3.1,1
8,1,2,75,0.91,9,84,3,3,9,8.19,16,68.25,1
7,0,0,50,1.0,3,13,1,17,9,3.0,0,50.0,1
7,6,1,60,0.67,23,90,4,13,6,15.41,7,40.2,1
14,2,1,20,0.83,19,53,2,1,8,15.77,14,16.599999999999998,1
16,5,0,75,0.44,7,47,0,21,4,3.08,0,33.0,1
10,8,2,60,0.06,8,25,0,14,0,0.48,20,3.5999999999999996,0
6,3,2,100,0.97,1,43,1,4,9,0.97,12,97.0,1
17,9,0,15,0.83,17,27,4,6,8,14.11,0,12.45,1
8,5,0,100,0.0,27,19,1,17,0,0.0,0,0.0,1
9,2,0,5,0.13,11,31,4,10,1,1.4300000000000002,0,0.65,1
5,2,1,10,0.13,13,68,0,23,1,1.69,5,1.3,0
6,7,1,60,0.51,3,58,4,7,5,1.53,6,30.6,1
14,0,2,85,0.3,20,4,0,15,3,6.0,28,25.5,0
11,1,1,75,0.07,2,42,4,4,0,0.14,11,5.250000000000001,0
6,2,1,100,0.63,17,92,2,12,6,10.71,6,63.0,1
14,8,1,75,0.51,13,13,6,22,5,6.63,14,38.25,1
6,8,2,35,0.43,28,30,3,10,4,12.04,12,15.049999999999999,0
12,6,1,20,0.31,10,86,2,11,3,3.1,12,6.2,1
7,7,0,15,0.83,2,56,0,23,8,1.66,0,12.45,1
16,5,0,90,0.06,30,72,4,10,0,1.7999999999999998,0,5.3999999999999995,1
15,1,1,60,0.87,30,97,3,23,8,26.1,15,52.2,1
5,4,2,50,0.35,18,65,1,4,3,6.3,10,17.5,0
15,7,0,20,0.35,17,48,0,8,3,5.949999999999999,0,7.0,1
14,3,1,90,0.97,26,80,4,21,9,25.22,14,87.3,1
15,8,0,100,0.93,26,89,2,0,9,24.18,0,93.0,1
7,4,2,50,0.92,11,1,1,4,9,10.120000000000001,14,46.0,1
14,6,0,25,0.74,0,12,5,16,7,0.0,0,18.5,1
8,6,1,75,0.34,11,40,5,10,3,3.74,8,25.500000000000004,1
17,9,2,15,0.88,4,21,6,19,8,3.52,34,13.2,1
5,1,1,75,0.66,15,78,3,13,6,9.9,5,49.5,1
9,3,2,20,0.35,3,37,5,21,3,1.0499999999999998,18,7.0,0
14,7,2,50,0.05,12,77,0,0,0,0.6000000000000001,28,2.5,0
8,4,0,25,0.76,9,42,0,0,7,6.84,0,19.0,1
12,6,0,25,0.38,22,30,4,17,3,8.36,0,9.5,1
15,5,0,65,0.86,1,56,0,14,8,0.86,0,55.9,1
6,5,2,70,0.57,22,82,3,9,5,12.54,12,39.9,1
6,6,0,55,0.17,30,80,3,22,1,5.1000000000000005,0,9.350000000000001,1
10,1,1,20,0.24,18,52,4,2,2,4.32,10,4.8,1
9,5,0,55,0.78,2,66,5,3,7,1.56,0,42.9,1
13,8,0,60,0.35,30,83,6,4,3,10.5,0,21.0,1
8,1,0,45,0.2,19,20,6,20,2,3.8000000000000003,0,9.0,1
6,2,2,80,0.46,18,98,4,14,4,8.280000000000001,12,36.800000000000004,0
14,9,1,55,0.15,2,61,3,20,1,0.3,14,8.25,0
9,4,2,10,0.35,2,40,3,14,3,0.7,18,3.5,0
5,0,1,50,0.08,27,12,4,19,0,2.16,5,4.0,0
13,6,1,95,0.55,25,95,0,14,5,13.750000000000002,13,52.25000000000001,1
17,9,2,35,0.32,15,65,1,1,3,4.8,34,11.200000000000001,1
17,5,2,15,0.5,5,6,1,22,5,2.5,34,7.5,1
12,8,2,100,0.16,11,37,3,13,1,1.76,24,16.0,0
17,5,2,100,0.05,20,83,2,2,0,1.0,34,5.0,0
10,1,2,65,0.28,23,85,4,4,2,6.44,20,18.200000000000003,0
10,1,2,25,0.92,9,84,5,21,9,8.280000000000001,20,23.0,1
11,2,2,15,0.31,12,83,6,10,3,3.7199999999999998,22,4.65,0
7,8,0,70,0.51,0,47,2,5,5,0.0,0,35.7,1
8,5,1,35,0.23,4,20,0,9,2,0.92,8,8.05,0
17,1,2,90,0.84,28,68,0,21,8,23.52,34,75.6,1
10,9,0,100,0.38,5,24,6,22,3,1.9,0,38.0,1
17,9,0,75,0.04,11,87,5,7,0,0.44,0,3.0,1
12,9,1,75,0.23,7,40,6,15,2,1.61,12,17.25,0
8,5,2,95,0.98,14,99,2,12,9,13.719999999999999,16,93.1,1
13,8,1,30,0.82,25,78,1,8,8,20.5,13,24.599999999999998,1
5,7,1,90,0.93,22,67,6,3,9,20.46,5,83.7,1
9,1,0,45,0.45,16,19,6,13,4,7.2,0,20.25,1
6,3,1,60,0.93,13,7,3,16,9,12.09,6,55.800000000000004,1
10,3,1,15,0.37,0,41,0,22,3,0.0,10,5.55,0
17,2,0,10,0.29,26,61,5,4,2,7.539999999999999,0,2.9,1
17,7,1,100,0.01,2,3,2,6,0,0.02,17,1.0,0
7,8,2,100,0.53,3,100,2,7,5,1.59,14,53.0,1
5,3,1,100,0.46,3,64,4,17,4,1.3800000000000001,5,46.0,1
5,8,2,40,0.72,9,55,0,19,7,6.4799999999999995,10,28.799999999999997,1
10,3,2,70,0.19,21,11,4,11,1,3.99,20,13.3,0
6,8,2,85,0.79,16,71,0,12,7,12.64,12,67.15,1
12,0,2,65,0.98,8,96,0,11,9,7.84,24,63.699999999999996,1
17,1,1,40,0.73,20,14,6,18,7,14.6,17,29.2,1
16,5,0,10,0.35,10,83,1,21,3,3.5,0,3.5,1
12,7,2,30,0.81,2,92,6,14,8,1.62,24,24.3,1
5,4,0,10,0.79,28,6,2,9,7,22.12,0,7.9,1
13,6,2,80,0.25,24,83,1,9,2,6.0,26,20.0,1
17,0,2,55,0.27,25,48,3,12,2,6.75,34,14.850000000000001,0
11,5,0,80,0.69,11,67,2,2,6,7.59,0,55.199999999999996,1
16,6,0,70,0.6,26,24,4,9,6,15.6,0,42.0,1
10,1,0,55,0.66,9,58,4,22,6,5.94,0,36.300000000000004,1
11,2,2,75,0.35,1,94,6,11,3,0.35,22,26.25,0
14,6,1,10,0.08,20,52,2,16,0,1.6,14,0.8,0
17,2,0,25,0.85,21,57,0,4,8,17.849999999999998,0,21.25,1
6,3,2,60,0.36,30,73,0,19,3,10.799999999999999,12,21.599999999999998,0
7,7,1,60,0.44,2,74,1,16,4,0.88,7,26.4,1
10,6,1,45,0.25,3,4,5,5,2,0.75,10,11.25,0
12,8,1,90,0.12,24,34,5,14,1,2.88,12,10.799999999999999,1
14,4,2,80,0.2,4,10,3,5,2,0.8,28,16.0,0
16,7,0,55,0.67,22,9,4,17,6,14.74,0,36.85,1
9,4,0,30,0.79,16,29,0,6,7,12.64,0,23.700000000000003,1
17,2,0,80,0.03,17,74,2,14,0,0.51,0,2.4,1
17,8,0,100,0.88,2,40,3,22,8,1.76,0,88.0,1
16,7,2,70,0.77,26,74,0,4,7,20.02,32,53.9,1
10,1,1,75,0.68,11,17,6,17,6,7.48,10,51.00000000000001,1
15,9,0,25,0.43,29,8,6,3,4,12.47,0,10.75,1
13,2,1,30,0.16,29,91,1,11,1,4.64,13,4.8,1
13,4,0,45,0.2,30,71,2,4,2,6.0,0,9.0,1
15,4,2,90,0.09,20,22,4,18,0,1.7999999999999998,30,8.1,0
7,2,2,100,0.72,19,44,6,18,7,13.68,14,72.0,1
5,0,0,10,0.95,24,74,2,20,9,22.799999999999997,0,9.5,1
8,9,1,100,0.64,15,81,4,9,6,9.6,8,64.0,1
15,4,1,40,0.8,21,52,2,14,8,16.8,15,32.0,1
6,0,0,75,0.42,14,27,2,19,4,5.88,0,31.5,1
7,5,2,55,0.73,27,45,3,4,7,19.71,14,40.15,1
17,5,2,90,0.11,7,60,0,8,1,0.77,34,9.9,0
12,3,0,20,0.05,30,50,6,19,0,1.5,0,1.0,1
11,3,0,55,0.93,23,41,1,5,9,21.39,0,51.150000000000006,1
12,8,1,80,0.88,15,3,0,12,8,13.2,12,70.4,1
13,7,0,35,0.58,1,7,2,15,5,0.58,0,20.299999999999997,1
14,7,1,90,0.01,3,56,1,8,0,0.03,14,0.9,0
16,5,1,60,0.05,1,73,4,6,0,0.05,16,3.0,0
10,8,1,15,0.39,14,98,4,8,3,5.46,10,5.8500000000000005,1
14,9,0,25,0.98,12,48,6,10,9,11.76,0,24.5,1
13,5,0,35,0.6,12,65,0,1,6,7.199999999999999,0,21.0,1
5,2,2,55,0.8,16,59,1,19,8,12.8,10,44.0,1
13,2,1,100,0.32,12,79,5,9,3,3.84,13,32.0,1
14,5,2,85,0.53,22,73,2,15,5,11.66,28,45.050000000000004,1
5,5,1,20,0.98,18,40,6,23,9,17.64,5,19.6,1
16,0,2,80,0.27,20,100,4,18,2,5.4,32,21.6,1
5,9,1,30,0.52,23,80,6,12,5,11.96,5,15.600000000000001,1
7,3,0,95,0.95,3,25,0,14,9,2.8499999999999996,0,90.25,1
10,6,0,70,0.69,13,65,6,19,6,8.969999999999999,0,48.3,1
12,0,2,25,0.52,17,42,5,15,5,8.84,24,13.0,1
13,6,1,30,0.46,17,44,4,11,4,7.82,13,13.8,1
15,4,2,80,0.19,7,36,4,9,1,1.33,30,15.2,0
8,4,1,35,0.69,15,41,3,11,6,10.35,8,24.15,1
13,4,1,20,0.57,17,49,3,11,5,9.69,13,11.399999999999999,1
17,2,1,10,0.29,22,11,2,14,2,6.38,17,2.9,1
15,4,2,80,0.21,26,69,2,17,2,5.46,30,16.8,0
16,4,0,20,0.62,18,31,1,1,6,11.16,0,12.4,1
15,8,0,40,0.05,13,43,5,15,0,0.65,0,2.0,1
6,2,0,90,0.98,5,53,5,15,9,4.9,0,88.2,1
12,3,1,55,0.29,1,99,0,20,2,0.29,12,15.95,1
14,3,2,10,0.91,5,54,6,5,9,4.55,28,9.1,1
5,6,1,30,0.94,30,38,0,0,9,28.2,5,28.2,1
9,9,2,20,0.93,10,37,3,20,9,9.3,18,18.6,1
13,8,1,25,0.85,14,35,1,3,8,11.9,13,21.25,1
10,2,2,75,0.65,22,24,0,23,6,14.3,20,48.75,1
10,4,2,35,0.18,27,82,3,13,1,4.859999999999999,20,6.3,0
13,5,0,65,0.67,5,18,3,10,6,3.35,0,43.550000000000004,1
8,0,1,65,0.24,24,35,2,9,2,5.76,8,15.6,1
14,9,0,45,0.65,22,31,0,21,6,14.3,0,29.25,1
6,7,1,30,0.41,16,91,6,9,4,6.56,6,12.299999999999999,1
16,1,2,50,0.37,7,29,1,15,3,2.59,32,18.5,0
7,7,2,100,0.37,22,71,3,17,3,8.14,14,37.0,0
8,3,2,100,0.87,2,68,3,16,8,1.74,16,87.0,1
16,5,0,95,0.11,26,71,4,6,1,2.86,0,10.45,1
14,8,0,30,0.33,16,57,0,21,3,5.28,0,9.9,1
8,9,1,15,0.9,14,8,3,4,9,12.6,8,13.5,1
13,6,1,95,0.06,14,87,6,9,0,0.84,13,5.7,0
11,4,0,35,0.58,1,55,2,22,5,0.58,0,20.299999999999997,1
6,8,0,15,0.99,15,5,2,13,9,14.85,0,14.85,1
7,2,2,70,0.37,28,49,3,12,3,10.36,14,25.9,1
15,8,0,60,0.12,17,51,4,4,1,2.04,0,7.199999999999999,1
16,3,0,5,0.98,14,87,5,17,9,13.719999999999999,0,4.9,1
11,8,1,40,0.25,11,20,2,6,2,2.75,11,10.0,0
16,1,0,70,0.61,29,3,1,6,6,17.69,0,42.699999999999996,1
6,1,2,10,0.45,21,91,6,1,4,9.450000000000001,12,4.5,1
5,6,1,40,0.54,24,100,0,4,5,12.96,5,21.6,1
13,4,0,95,0.32,19,99,5,10,3,6.08,0,30.400000000000002,1
8,4,0,85,0.22,9,36,0,17,2,1.98,0,18.7,1
14,2,2,70,0.56,1,45,5,21,5,0.56,28,39.2,1
11,8,1,70,0.41,9,49,1,17,4,3.69,11,28.7,1
12,3,0,50,0.86,4,60,0,17,8,3.44,0,43.0,1
11,6,2,85,0.13,7,33,1,10,1,0.91,22,11.05,0
15,1,1,60,0.09,23,25,0,8,0,2.07,15,5.3999999999999995,1
14,9,0,15,0.19,24,76,5,21,1,4.5600000000000005,0,2.85,1
13,3,1,35,0.87,10,39,0,6,8,8.7,13,30.45,1
8,1,2,80,0.91,22,78,5,6,9,20.02,16,72.8,1
11,3,2,55,0.78,12,60,4,20,7,9.36,22,42.9,1
10,4,1,60,0.51,15,60,0,23,5,7.65,10,30.6,1
12,5,0,60,0.31,1,73,6,7,3,0.31,0,18.6,1
16,2,0,45,0.55,18,75,5,13,5,9.9,0,24.750000000000004,1
9,2,0,55,0.23,18,32,3,17,2,4.140000000000001,0,12.65,1
15,5,1,80,0.97,20,95,3,14,9,19.4,15,77.6,1
7,5,0,25,0.72,15,24,4,20,7,10.799999999999999,0,18.0,1
5,8,0,15,0.95,21,7,6,0,9,19.95,0,14.25,1
11,2,2,40,0.07,4,2,1,16,0,0.28,22,2.8000000000000003,0
12,5,0,100,0.64,29,79,3,21,6,18.56,0,64.0,1
12,0,0,90,0.55,0,3,4,23,5,0.0,0,49.50000000000001,1
9,8,1,5,0.5,22,87,3,5,5,11.0,9,2.5,1
6,1,2,25,0.24,19,68,2,11,2,4.56,12,6.0,0
9,6,0,60,0.96,14,73,1,22,9,13.44,0,57.599999999999994,1
8,4,2,15,0.65,27,84,6,1,6,17.55,16,9.75,1
6,6,1,65,0.55,1,82,0,22,5,0.55,6,35.75,1
7,1,1,70,0.64,10,73,6,3,6,6.4,7,44.800000000000004,1
13,0,0,35,0.9,22,73,3,8,9,19.8,0,31.5,1
5,1,2,45,0.9,18,85,0,5,9,16.2,10,40.5,1
10,0,0,95,0.14,26,92,6,12,1,3.6400000000000006,0,13.3,1
6,4,0,95,0.24,26,50,5,17,2,6.24,0,22.8,1
10,6,2,25,0.79,22,93,0,16,7,17.380000000000003,20,19.75,1
16,5,0,20,0.44,26,10,2,19,4,11.44,0,8.8,1
17,9,2,65,0.97,10,4,5,8,9,9.7,34,63.05,1
17,7,1,40,0.36,30,49,3,5,3,10.799999999999999,17,14.399999999999999,1
15,9,2,65,0.09,19,38,6,7,0,1.71,30,5.85,0
16,1,0,45,0.15,22,82,1,23,1,3.3,0,6.75,1
11,5,1,20,0.09,30,40,3,11,0,2.6999999999999997,11,1.7999999999999998,0
17,4,0,25,0.09,13,58,4,17,0,1.17,0,2.25,1
13,6,0,5,0.09,17,12,4,19,0,1.53,0,0.44999999999999996,1
17,5,1,5,0.29,12,100,0,23,2,3.4799999999999995,17,1.45,1
13,3,2,85,0.17,12,22,1,8,1,2.04,26,14.450000000000001,0
9,4,1,25,0.06,13,36,3,9,0,0.78,9,1.5,0
12,1,1,45,0.94,23,81,3,19,9,21.619999999999997,12,42.3,1
14,3,1,20,0.14,0,51,2,19,1,0.0,14,2.8000000000000003,0
11,5,1,55,0.43,26,84,4,4,4,11.18,11,23.65,1
9,5,2,35,0.48,5,51,2,9,4,2.4,18,16.8,0
16,7,2,40,0.33,8,51,2,3,3,2.64,32,13.200000000000001,0
14,3,2,90,0.18,24,71,0,23,1,4.32,28,16.2,0
12,3,1,50,0.83,2,53,5,15,8,1.66,12,41.5,1
7,4,0,45,0.66,22,55,6,12,6,14.520000000000001,0,29.700000000000003,1
6,7,2,80,0.58,17,65,6,22,5,9.86,12,46.4,1
11,8,0,60,0.7,25,69,4,20,7,17.5,0,42.0,1
6,1,0,60,0.17,19,6,4,20,1,3.2300000000000004,0,10.200000000000001,1
15,6,1,70,0.11,3,34,1,16,1,0.33,15,7.7,0
16,8,2,95,0.69,7,58,2,12,6,4.83,32,65.55,1
12,9,2,85,0.15,0,62,0,9,1,0.0,24,12.75,0
11,1,0,25,0.35,10,59,6,6,3,3.5,0,8.75,1
13,7,1,80,0.1,23,90,3,10,1,2.3000000000000003,13,8.0,1
6,4,0,20,0.02,10,83,0,21,0,0.2,0,0.4,0
17,2,2,40,0.52,17,21,2,17,5,8.84,34,20.8,1
11,7,0,65,0.63,5,82,5,13,6,3.15,0,40.95,1
11,0,2,100,0.88,14,76,3,12,8,12.32,22,88.0,1
5,3,0,45,0.75,25,9,4,3,7,18.75,0,33.75,1
17,8,0,60,0.33,14,15,2,21,3,4.62,0,19.8,1
12,8,2,55,0.6,19,51,4,3,6,11.4,24,33.0,1
10,5,1,100,0.17,21,91,6,9,1,3.5700000000000003,10,17.0,0
14,1,2,25,0.31,7,40,0,5,3,2.17,28,7.75,0
10,2,2,65,0.42,4,74,3,13,4,1.68,20,27.3,0
7,7,2,90,0.69,20,23,4,5,6,13.799999999999999,14,62.099999999999994,1
12,4,0,30,0.31,14,80,0,11,3,4.34,0,9.3,1
